RESOURCE_NODE,UNIT_SUBSTATION,UNIT_NAME,Sample BusNames
CBY_CBY_G2,CBY,CBY_G2,
CCEC_GT1,CCEC,GT1,
CCEC_GT2,CCEC,GT2,
CCEC_ST1,CCEC,ST1,
CEDROHI_CHW1,CEDROHIL,CHW1,
CEDROHI_CHW1,CEDROHIL,CHW2,
CEDRVALE_RN,CEDRVALE,BESS,
CFLATS_UNIT,CFLATS,U1,
CHALUP_ALL,CHALUPA,UNIT1,
CHALUP_ALL,CHALUPA,UNIT2,
CHAMON_UN1,CHAMON,CTG_0101,
CHAMON_UN2,CHAMON,CTG_0301,
CHEDPW_GT2,CHE,GT2,
CHEDPW_GT2,CHE,GT3,
CHE_LYD,CHE,CHEGT1,
CHE_LYD2,CHE,CHEST1,
CHISMGRD_RN,CHISMGRD,BES1,
CITYVICT_ALL,CITYVICT,CTG01,
CITYVICT_ALL,CITYVICT,CTG02,
CN_BRKS_UNT1,CN_BRKS,UNIT_1,
COL_COLETOG1,COLETO,COLETOG1,
CONIGLIO_RN,CONIGLIO,UNIT1,
CORAZON_RN,CORAZON,UNIT1,
COTPLNS_RN,COTPLNS,COTTONPL,
COTPLNS_RN,COTPLNS,OLDSETLR,
COTTON_PAP2,COTTON,PAP2,
COYOTSPR_RN,COYOTSPR,BESS,
CPSES_UNIT1,CPSES,UNIT1,
CPSES_UNIT2,CPSES,UNIT2,
CRANELL_ALL,CRANELL,UNIT1,
CROSSETT_ALL,CROSSETT,BES1,
CROSSETT_ALL,CROSSETT,BES2,
CRWN_SLR_UN1,CRWN_SLR,UNIT1,
CSC_CSECG1_2,CSEC,CSECG1,
CSC_CSECG1_2,CSEC,CSECG2,
CVC_CVCG1_5,CVC,CVC_G1,
CVC_CVCG1_5,CVC,CVC_G5,
CVC_CVC_G2,CVC,CVC_G2,
CVC_CVC_G3,CVC,CVC_G3,
DAG_ALL,DAG,UNIT1,
DAG_ALL,DAG,UNIT2,
DANSBY_ALL,DANSBY,DANSBYG1,
DANSBY_ALL,DANSBY,DANSBYG2,
DANSBY_ALL,DANSBY,DANSBYG3,
DAN_ALL,DAN,UNIT1,
DAN_ALL,DAN,UNIT2,
DAN_ALL,DAN,UNIT3,
DC2SES_ALL,DCSES,BES1,
DC2SES_ALL,DCSES,BES2,
DC2SES_ALL,DCSES,BES3,
DC2SES_ALL,DCSES,BES4,
DC2SES_ALL,DCSES,CT10,
DC2SES_ALL,DCSES,CT20,
DC2SES_ALL,DCSES,CT30,
DC2SES_ALL,DCSES,CT40,
DDPEC_GT1,DDPEC,GT1,
DDPEC_GT2,DDPEC,GT2,
DDPEC_GT3,DDPEC,GT3,
DDPEC_GT4,DDPEC,GT4,
DDPEC_GT6,DDPEC,GT6,
DDPEC_ST1,DDPEC,ST1,
DECKER_DPG2,DECKER,DPG2,
DECKER_GT,DECKER,DPGT_1,
DECKER_GT,DECKER,DPGT_2,
DECKER_GT,DECKER,DPGT_3,
DECKER_GT,DECKER,DPGT_4,
DENISON_G1_2,DNDAM,DENISOG1,
DENISON_G1_2,DNDAM,DENISOG2,
DERMOTT_ALL,COYOTE_W,UNIT1,
DERMOTT_ALL,COYOTE_W,UNIT2,
DERMOTT_ALL,COYOTE_W,UNIT3,
DERMOTT_ALL,DERMOTT,UNIT1,
DERMOTT_ALL,DERMOTT,UNIT2,
DIBOL_RN,DIBOL,BESS,
DIB_DIB_G1,DIB,DIB_G1,
DIB_DIB_G2,DIB,DIB_G2,
DIB_DIB_G3,DIB,DIB_G3,
DIB_DIB_G4,DIB,DIB_G4,
DOW_61_2_63,DOWGEN,DOW_G61,
DOW_61_2_63,DOWGEN,DOW_G63,
DOW_64,DOWGEN,DOW_ST64,
DOW_81_2_84,DOWGEN,DOW_G81,
DOW_81_2_84,DOWGEN,DOW_G82,
DOW_81_2_84,DOWGEN,DOW_G83,
DOW_81_2_84,DOWGEN,DOW_ST84,
DOW_G37_G35,DOWGEN,DOW_G37,
DOW_G66_ST65,DOWGEN,DOW_G66,
DOW_G66_ST65,DOWGEN,DOW_ST65,
DOW_G67,DOWGEN,DOW_G67,
DOW_G96_ST95,DOWGEN,DOW_GT96,
DOW_G96_ST95,DOWGEN,DOW_ST95,
